Ticker,Start Price on 11/15/19 ($),End Price on 11/15/21 ($),Percent Gain (%),Actual Gain ($)
AMD,38.94,146.49,276.19414483821265,27619414.483821265
AAPL,65.92,150.0,127.54854368932038,12754854.368932039
BBBY,13.94,21.58,54.806312769010034,5480631.276901004
F,8.85,19.86,124.40677966101694,12440677.966101695
GM,37.0,62.97,70.18918918918918,7018918.918918918
M,16.49,31.05,88.29593693147363,8829593.693147363
MSFT,148.93,336.07,125.6563486201571,12565634.862015711
PFE,34.72,49.65,43.00115207373272,4300115.207373272
QCOM,92.6,168.51,81.97624190064795,8197624.190064795
SPX,3107.92,4682.8,50.67311899920204,5067311.899920204
STZ,182.94,228.82,25.07926095987755,2507926.0959877553
